key,cpu_number,total,user,system,idle,nice,iowait,irq,softirq,steal,guest,guest_nice,iteration&time
cpu_number,0,48.8,11.5,3.1,51.2,29.3,1.2,0.0,3.7,0.0,0.0,0.0,1:1667129777.8607447
cpu_number,1,23.6,0.6,0.8,76.4,21.5,0.0,0.0,0.7,0.0,0.0,0.0,1:1667129777.8607447
cpu_number,2,6.9,4.6,1.9,93.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,1:1667129777.8607447
cpu_number,3,4.9,1.8,0.8,95.1,0.0,2.2,0.0,0.1,0.0,0.0,0.0,1:1667129777.8607447
cpu_number,4,15.6,5.6,5.3,84.4,0.0,4.6,0.0,0.1,0.0,0.0,0.0,1:1667129777.8607447
cpu_number,5,3.5,1.5,2.0,96.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667129777.8607447
cpu_number,6,12.1,5.8,3.2,87.9,0.0,3.1,0.0,0.0,0.0,0.0,0.0,1:1667129777.8607447
cpu_number,7,0.8,0.0,0.8,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667129777.8607447
cpu_number,0,7.8,0.0,0.5,92.2,4.6,0.0,0.0,2.7,0.0,0.0,0.0,2:1667129798.2723773
cpu_number,1,94.5,0.0,2.7,5.5,91.7,0.0,0.0,0.0,0.0,0.0,0.0,2:1667129798.2723773
cpu_number,2,1.2,0.5,0.6,98.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667129798.2723773
cpu_number,3,0.3,0.1,0.2,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667129798.2723773
cpu_number,4,7.0,1.5,5.6,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667129798.2723773
cpu_number,5,3.7,0.2,3.5,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667129798.2723773
cpu_number,6,1.9,0.3,1.5,98.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667129798.2723773
cpu_number,7,1.2,0.2,1.0,98.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667129798.2723773
cpu_number,0,0.6,0.0,0.1,99.4,0.1,0.0,0.0,0.3,0.0,0.0,0.0,3:1667129818.732619
cpu_number,1,99.4,0.0,4.7,0.6,94.6,0.1,0.0,0.0,0.0,0.0,0.0,3:1667129818.732619
cpu_number,2,1.5,0.7,0.6,98.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,3:1667129818.732619
cpu_number,3,0.2,0.1,0.1,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667129818.732619
cpu_number,4,6.4,1.3,5.0,93.6,0.0,0.0,0.0,0.1,0.0,0.0,0.0,3:1667129818.732619
cpu_number,5,3.3,0.1,3.2,96.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667129818.732619
cpu_number,6,2.7,0.3,2.4,97.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667129818.732619
cpu_number,7,1.6,0.1,1.4,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667129818.732619
