pid,memory_percent,name,num_threads,cpu_percent,cpu_times,username,cmdline,gids,status,io_counters,nice,memory_info,num_ctx_switches,ionice,num_fds,cpu_affinity,memory_swap,tcp,udp,extended_stats,key,time_since_update,iteration&time
21450,0.9027474685483299,python,1,6.1,"[1.0, 0.55, 0.0, 0.0, 0.0]",aman,"['python', 'psaz_collect.py', 'config.yaml']","[1000, 1000, 1000]",S,"[0, 0, 0, 0, 1]",0,"[74469376, 427864064, 25628672, 1728512, 0, 311586816, 0]","[1003, 2]","[0, 4]",7.0,"[0, 1, 2, 3, 4, 5, 6, 7]",0.0,1.0,0.0,True,pid,2.283062696456909,1:1667388445.3166203
21215,0.3910200932191903,glances,1,2.2,"[0.49, 0.17, 0.0, 0.01, 0.12]",aman,"['/home/aman/miniconda3/envs/srini/bin/python', '/home/aman/miniconda3/envs/srini/bin/glances', '-w', '--disable-webui']","[1000, 1000, 1000]",R,"[8032256, 8192, 8032256, 8192, 1]",0,"[32256000, 191991808, 9289728, 1728512, 0, 40013824, 0]",,,,,,,,,pid,2.283062696456909,1:1667388445.3166203
21115,0.9837320745217266,node,12,0.0,"[2.08, 0.6, 0.14, 1.29, 0.0]",aman,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/out/bootstrap-fork', '--type=extensionHost', '--transformURIs', '--useHostProxy=true']","[1000, 1000, 1000]",S,"[0, 16384, 0, 16384, 1]",0,"[81149952, 840970240, 37306368, 70565888, 0, 126402560, 0]",,,,,,,,,pid,2.283062696456909,1:1667388445.3166203
21030,0.8714162077456239,node,11,0.0,"[4.06, 2.33, 1.15, 0.62, 0.0]",aman,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/out/server-main.js', '--host=127.0.0.1', '--port=0', '--connection-token=3647676808-3054417961-232110392-2849842855', '--use-host-proxy', '--without-browser-env-var', '--disable-websocket-compression', '--accept-server-license-terms', '--telemetry-level=all']","[1000, 1000, 1000]",S,"[4096, 45056, 4096, 45056, 1]",0,"[71884800, 956350464, 35475456, 70565888, 0, 110661632, 0]",,,,,,,,,pid,2.283062696456909,1:1667388445.3166203
21050,0.5987696894133606,node,13,0.0,"[0.64, 0.45, 0.33, 0.06, 0.0]",aman,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/out/bootstrap-fork', '--type=ptyHost', '--logsPath', '/home/aman/.vscode-server/data/logs/20221102T165538']","[1000, 1000, 1000]",S,"[0, 0, 0, 0, 1]",0,"[49393664, 659959808, 33058816, 70565888, 0, 107401216, 0]",,,,,,,,,pid,2.283062696456909,1:1667388445.3166203
21085,0.5314397533619039,node,13,0.0,"[0.38, 1.15, 0.0, 0.0, 0.0]",aman,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/out/bootstrap-fork', '--type=fileWatcher']","[1000, 1000, 1000]",S,"[4096, 0, 4096, 0, 1]",0,"[43839488, 855556096, 32415744, 70565888, 0, 103956480, 0]",,,,,,,,,pid,2.283062696456909,1:1667388445.3166203
21043,0.47493424655765776,node,7,0.0,"[0.29, 0.14, 0.0, 0.0, 0.0]",aman,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '-e', "" const net = require('net'); process.stdin.pause(); const client = net.createConnection({ host: '127.0.0.1', port: 38237 }, () => { client.pipe(process.stdout); process.stdin.pipe(client); }); client.on('close', function (hadError) { console.error(hadError ? 'Remote close with error' : 'Remote close'); process.exit(hadError ? 1 : 0); }); client.on('error', function (err) { process.stderr.write(err && (err.stack || err.message) || String(err)); });""]","[1000, 1000, 1000]",S,"[0, 0, 0, 0, 1]",0,"[39178240, 600866816, 28409856, 70565888, 0, 54177792, 0]",,,,,,,,,pid,2.283062696456909,1:1667388445.3166203
21078,0.42557882145799103,node,7,0.0,"[0.2, 0.23, 0.0, 0.0, 0.0]",aman,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '-e', "" const net = require('net'); process.stdin.pause(); const client = net.createConnection({ host: '127.0.0.1', port: 38237 }, () => { client.pipe(process.stdout); process.stdin.pipe(client); }); client.on('close', function (hadError) { console.error(hadError ? 'Remote close with error' : 'Remote close'); process.exit(hadError ? 1 : 0); }); client.on('error', function (err) { process.stderr.write(err && (err.stack || err.message) || String(err)); });""]","[1000, 1000, 1000]",S,"[0, 0, 0, 0, 1]",0,"[35106816, 530186240, 26779648, 70565888, 0, 51519488, 0]",,,,,,,,,pid,2.283062696456909,1:1667388445.3166203
21246,0.06708166932560329,bash,1,0.0,"[0.04, 0.03, 1.95, 0.79, 0.0]",aman,"['/usr/bin/bash', '--init-file', '/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh']","[1000, 1000, 1000]",S,"[16642048, 0, 16642048, 0, 1]",0,"[5533696, 10407936, 3641344, 724992, 0, 1937408, 0]",,,,,,,,,pid,2.283062696456909,1:1667388445.3166203
21141,0.06474796210258082,bash,1,0.0,"[0.03, 0.01, 0.94, 0.07, 0.0]",aman,"['/usr/bin/bash', '--init-file', '/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh']","[1000, 1000, 1000]",S,"[0, 0, 0, 0, 1]",0,"[5341184, 10272768, 3547136, 724992, 0, 1802240, 0]",,,,,,,,,pid,2.283062696456909,1:1667388445.3166203
31258,0.06291078833126527,bash,1,0.0,"[0.1, 0.09, 1.3, 0.45, 0.0]",aman,['-bash'],"[1000, 1000, 1000]",S,"[303104, 2441216, 303104, 2441216, 1]",0,"[5189632, 10280960, 3411968, 724992, 0, 1810432, 0]",,,,,,,,,pid,2.283062696456909,1:1667388445.3166203
2168,0.062414254879558366,bash,1,0.0,"[0.14, 0.09, 417.24, 327.96, 0.0]",aman,['-bash'],"[1000, 1000, 1000]",S,"[854159360, 6824759296, 854159360, 6824759296, 1]",0,"[5148672, 10280960, 3379200, 724992, 0, 1810432, 0]",,,,,,,,,pid,2.283062696456909,1:1667388445.3166203
